drugName,condition,review,rating,usefulCount,condition_cat,stemmedReview
Valsartan,Left Ventricular Dysfunction,"""It has no side effect, I take it in combination of Bystolic 5 Mg and Fish Oil""",9.0,27,76,it side effect i combin bystol mg fish oil
Guanfacine,ADHD,"""My son is halfway through his fourth week of Intuniv. We became concerned when he began this last week, when he started taking the highest dose he will be on. For two days, he could hardly get out of bed, was very cranky, and slept for nearly 8 hours on a drive home from school vacation (very unusual for him.) I called his doctor on Monday morning and she said to stick it out a few days. See how he did at school, and with getting up in the morning. The last two days have been problem free. He is MUCH more agreeable than ever. He is less emotional (a good thing), less cranky. He is remembering all the things he should. Overall his behavior is better. 
We have tried many different medications and so far this is the most effective.""",8.0,192,4,my halfway fourth week intuniv we becam concern began last week start take highest dose for two day could hardli get bed cranki slept nearli hour drive home school vacat unusu i call doctor monday morn said stick day see school get morn the last two day problem free he much agreeabl ever he less emot good thing less cranki he rememb thing overal behavior better we tri mani differ medic far effect
Lybrel,Birth Control,"""I used to take another oral contraceptive, which had 21 pill cycle, and was very happy- very light periods, max 5 days, no other side effects. But it contained hormone gestodene, which is not available in US, so I switched to Lybrel, because the ingredients are similar. When my other pills ended, I started Lybrel immediately, on my first day of period, as the instructions said. And the period lasted for two weeks. When taking the second pack- same two weeks. And now, with third pack things got even worse- my third period lasted for two weeks and now it&#039;s the end of the third week- I still have daily brown discharge.
The positive side is that I didn&#039;t have any other side effects. The idea of being period free was so tempting... Alas.""",5.0,17,23,i use anoth oral contracept pill cycl happi light period max day side effect but contain hormon gestoden avail us i switch lybrel ingredi similar when pill end i start lybrel immedi first day period instruct said and period last two week when take second pack two week and third pack thing got even wors third period last two week third week i still daili brown discharg the posit side i side effect the idea period free tempt ala
Ortho Evra,Birth Control,"""This is my first time using any form of birth control. I&#039;m glad I went with the patch, I have been on it for 8 months. At first It decreased my libido but that subsided. The only downside is that it made my periods longer (5-6 days to be exact) I used to only have periods for 3-4 days max also made my cramps intense for the first two days of my period, I never had cramps before using birth control. Other than that in happy with the patch""",8.0,10,23,thi first time use form birth control i glad i went patch i month at first it decreas libido subsid the downsid made period longer day exact i use period day max made cramp intens first two day period i never cramp use birth control other happi patch
Buprenorphine / naloxone,Opiate Dependence,"""Suboxone has completely turned my life around.  I feel healthier, I&#039;m excelling at my job and I always have money in my pocket and my savings account.  I had none of those before Suboxone and spent years abusing oxycontin.  My paycheck was already spent by the time I got it and I started resorting to scheming and stealing to fund my addiction.  All that is history.  If you&#039;re ready to stop, there&#039;s a good chance that suboxone will put you on the path of great life again.  I have found the side-effects to be minimal compared to oxycontin.  I&#039;m actually sleeping better.   Slight constipation is about it for me.  It truly is amazing. The cost pales in comparison to what I spent on oxycontin.""",9.0,37,92,suboxon complet turn life around i feel healthier i excel job i alway money pocket save account i none suboxon spent year abus oxycontin my paycheck alreadi spent time i got i start resort scheme steal fund addict all histori if readi stop good chanc suboxon put path great life i found side effect minim compar oxycontin i actual sleep better slight constip it truli amaz the cost pale comparison i spent oxycontin
Cialis,Benign Prostatic Hyperplasia,"""2nd day on 5mg started to work with rock hard erections however experianced headache, lower bowel preassure. 3rd day erections would wake me up &amp; hurt! Leg/ankles aches   severe lower bowel preassure like you need to go #2 but can&#039;t! Enjoyed the initial rockhard erections but not at these side effects or $230 for months supply! I&#039;m 50 &amp; work out 3Xs a week. Not worth side effects!""",2.0,43,21,nd day mg start work rock hard erect howev experianc headach lower bowel preassur rd day erect would wake amp hurt leg ankl ach sever lower bowel preassur like need go enjoy initi rockhard erect side effect month suppli i amp work xs week not worth side effect
Levonorgestrel,Emergency Contraception,"""He pulled out, but he cummed a bit in me. I took the Plan B 26 hours later, and took a pregnancy test two weeks later - - I&#039;m pregnant.""",1.0,5,47,he pull cum bit i took plan b hour later took pregnanc test two week later i pregnant
Aripiprazole,Bipolar Disorde,"""Abilify changed my life. There is hope. I was on Zoloft and Clonidine when I first started Abilify at the age of 15.. Zoloft for depression and Clondine to manage my complete rage. My moods were out of control. I was depressed and hopeless one second and then mean, irrational, and full of rage the next. My Dr. prescribed me 2mg of Abilify and from that point on I feel like I have been cured though I know I&#039;m not.. Bi-polar disorder is a constant battle. I know Abilify works for me because I have tried to get off it and lost complete control over my emotions. Went back on it and I was golden again.  I am on 5mg 2x daily. I am now 21 and better than I have ever been in the past. Only side effect is I like to eat a lot.""",10.0,32,22,abilifi chang life there hope i zoloft clonidin i first start abilifi age zoloft depress clondin manag complet rage my mood control i depress hopeless second mean irrat full rage next my dr prescrib mg abilifi point i feel like i cure though i know i bi polar disord constant battl i know abilifi work i tri get lost complet control emot went back i golden i mg x daili i better i ever past onli side effect i like eat lot
Keppra,Epilepsy,""" I Ve had  nothing but problems with the Keppera : constant shaking in my arms &amp; legs &amp; pins &amp; needles feeling in my arms &amp; legs severe light headedness no appetite &amp; etc.""",1.0,11,49,i ve noth problem keppera constant shake arm amp leg amp pin amp needl feel arm amp leg sever light headed appetit amp etc
Ethinyl estradiol / levonorgestrel,Birth Control,"""I had been on the pill for many years. When my doctor changed my RX to chateal, it was as effective. It really did help me by completely clearing my acne, this takes about 6 months though. I did not gain extra weight, or develop any emotional health issues. I stopped taking it bc I started using a more natural method of birth control, but started to take it bc I hate that my acne came back at age 28. I really hope symptoms like depression, or weight gain do not begin to affect me as I am older now. I&#039;m also naturally moody, so this may worsen things. I was in a negative mental rut today. Also I hope this doesn&#039;t push me over the edge, as I believe I am depressed. Hopefully it&#039;ll be just like when I was younger.""",8.0,1,23,i pill mani year when doctor chang rx chateal effect it realli help complet clear acn take month though i gain extra weight develop emot health issu i stop take bc i start use natur method birth control start bc i hate acn came back age i realli hope symptom like depress weight gain begin affect i older i natur moodi may worsen thing i neg mental rut today also i hope push edg i believ i depress hope like i younger
